country_code,year,share_of_instudents,gdp,share_education_spending_gdp,mean_income,urban_rate,population_density,gdp_log,population_density_log,share_of_instudents_original,share_education_spending_gdp_original,mean_income_original,urban_rate_original
DEU,2014,7.22965,4829517165011,4.92102,21072.18,0.7719000030870867,232.90901,12.683903713970414,2.3690469508297523,7.22965,4.92102,21072.18,0.7719000030870867
DEU,2015,7.6821,4909335550077,4.85515,21897.75,0.7720000037705077,234.9167,12.691022716876192,2.37275868468017,7.6821,4.85515,21897.75,0.7720000037705077
DEU,2016,8.03708,5021990597107,4.83923,22351.04,0.7722399981959636,236.87025,12.700875895229167,2.3763401290117945,8.03708,4.83923,22351.04,0.7722399981959636
DEU,2017,8.37318,5158389093082,4.87183,22395.89,0.772609996186409,237.85458,12.712514097516088,2.378133573229408,8.37318,4.87183,22395.89,0.772609996186409
DEU,2018,9.96628,5215979572661,4.97933,23203.11,0.7731199978307907,238.6116,12.717335881899947,2.379507839151512,9.96628,4.97933,23203.11,0.7731199978307907
DEU,2019,10.10946,5267507887953,5.11552,23572.68,0.7737599966649402,239.15735,12.721605194625146,2.3804958827326117,10.10946,5.11552,23572.68,0.7737599966649402
DEU,2020,11.24126,5051796197610,5.59038,25170.1,0.7745299950020966,239.35634,12.703445821685692,2.3808555822196094,11.24126,5.59038,25170.1,0.7745299950020966
GRC,2010,4.18092,418370193341,4.140565,13434.03,0.762919957224583,86.30462,11.621560735782236,1.9410372263793028,4.18092,4.140565,13434.03,0.762919957224583
GRC,2013,4.18636,337783002014,4.495119,9522.52,0.7735500028225631,85.08561,11.528637791129517,1.934930561210961,4.18636,4.495119,9522.52,0.7735500028225631
GRC,2016,3.34523,339573726428,4.0156107,9809.98,0.7838699640153077,83.595856,11.530934080546237,1.9273490892752811,3.34523,4.0156107,9809.98,0.7838699640153077
HUN,2012,4.60136,283231439475,4.1425,6925.72,0.6967800166969713,108.663376,11.452141459586578,2.040061611560251,4.60136,4.1425,6925.72,0.6967800166969713
HUN,2015,7.05393,311681723654,4.4954,8790.97,0.7050000264146358,107.81514,11.49371133693038,2.036689325150885,7.05393,4.4954,8790.97,0.7050000264146358
ISL,2010,4.92493,17443794306,6.94424,18061.28,0.9211059622446207,3.1554399,10.241640956936177,0.6186170055040148,4.92493,6.94424,18061.28,0.9357409893692952
IND,2011,0.255282,6620862520105,3.79618,3474.1730000000002,0.5380474794531794,424.19925,12.82091457000196,2.628592489809047,0.1033,3.79618,1894.46,0.31276000030681284
IRL,2010,6.95277,268988028812,6.05033,15957.27,0.6154200898872955,66.17917,11.42973295235875,1.8272346338217107,6.95277,6.05033,15957.27,0.6154200898872955
IRL,2011,10.70594,273423033225,5.82429,15388.8,0.6174198988490167,66.47705,11.436835096850693,1.8291560875992654,10.70594,5.82429,15388.8,0.6174198988490167
IRL,2012,5.76183,272332184788,5.76235,15485.65,0.6194200585146361,66.77511,11.4350989702062,1.8310702311194245,5.76183,5.76235,15485.65,0.6194200585146361
IRL,2013,6.44894,278302184886,5.34579,15720.25,0.6214101080146788,67.13147,11.444516615894385,1.833347759348926,6.44894,5.34579,15720.25,0.6214101080146788
IRL,2014,6.99714,304284570734,4.86512,16314.98,0.6233999750952178,67.61848,11.483279931278524,1.8364410935667905,6.99714,4.86512,16314.98,0.6233999750952178
IRL,2015,7.36843,379185952171,3.74869,16951.46,0.62538002793305,68.260956,11.57885223951204,1.8404884817652658,7.36843,3.74869,16951.46,0.62538002793305
IRL,2016,8.18777,383822026026,3.74674,17999.36,0.6273701011600655,69.00138,11.584129893556065,1.8451066017353634,8.18777,3.74674,17999.36,0.6273701011600655
IRL,2017,8.88011,422394713895,3.49045,19075.67,0.6294700989393824,69.8252,11.625718474534839,1.8501878095782671,8.88011,3.49045,19075.67,0.6294700989393824
IRL,2018,9.63793,454261615310,3.37838,19708.5,0.6317000991922448,70.72952,11.657306040880412,1.8556979246309369,9.63793,3.37838,19708.5,0.6317000991922448
IRL,2019,10.71472,477158900469,3.29617,20357.72,0.6340499438628063,71.61404,11.67866302915635,1.8610206001079377,10.71472,3.29617,20357.72,0.6340499438628063
IRL,2020,10.19912,511313451826,3.25082,21420.34,0.6365299589880976,72.32696,11.708687218459746,1.8652636803236853,10.19912,3.25082,21420.34,0.6365299589880976
ISR,2010,0.80249,285306185438,5.43391,11688.03,0.918260008394984,339.03592,11.45531118726488,2.5315247965534566,0.80249,5.43391,11688.03,0.918260008394984
ISR,2011,1.07913,301177262915,5.45581,11666.49,0.918920008241263,345.24127,11.478822182127459,2.539378832069259,1.07913,5.45581,11666.49,0.918920008241263
ISR,2012,1.18835,308829588646,5.58893,12297.66,0.9196000252828519,351.5612,11.489718902967189,2.547234515697039,1.18835,5.58893,12297.66,0.9196000252828519
ISR,2013,2.75871,321894932216,5.78415,12796.68,0.9203099447856566,358.10394,11.507714139383602,2.5552201701243233,2.75871,5.78415,12796.68,0.9203099447856566
ISR,2014,2.77781,334401594040,5.70471,13029.61,0.9210399600764391,364.93405,11.524268338986955,2.5634028222745053,2.77781,5.70471,13029.61,0.9210399600764391
ISR,2020,3.43936,396288076349,6.47882,14150.95,0.9211059622446207,406.67184,11.598011005331156,2.610310713524793,3.43936,6.47882,14150.95,0.9258700393918677
ITA,2010,3.52984,2987062154440,4.33412,14741.55,0.6832700048316883,203.452,12.475244259447086,2.310591363287104,3.52984,4.33412,14741.55,0.6832700048316883
ITA,2012,4.03608,2913834010596,4.05602,13384.84,0.6868399962331027,204.69409,12.464464808128882,2.313221813730404,4.03608,4.05602,13384.84,0.6868399962331027
ITA,2014,4.72098,2860820079618,4.06128,13279.5,0.6927199989998214,205.14265,12.456490545367057,2.3141678546777715,4.72098,4.06128,13279.5,0.6927199989998214
ITA,2016,5.10229,2921836724675,3.81579,13980.1,0.6985500044880625,204.51344,12.465655943441721,2.3128402287764365,5.10229,3.81579,13980.1,0.6985500044880625
ITA,2020,2.88108,2739494789919,4.44136,14517.55,0.710389993911558,202.60168,12.437670478813018,2.308781357219335,2.88108,4.44136,14517.55,0.710389993911558
JPN,2013,3.51571,5445157747028,3.40875,15536.63,0.9122600023539567,350.4078,12.736010465849713,2.5458113970550174,3.51571,3.40875,15536.63,0.9122600023539567
JPN,2014,3.43525,5461286604529,3.4153,15842.45,0.9130399996857224,349.75748,12.737294968606545,2.5450069412487557,3.43525,3.4153,15842.45,0.9130399996857224
JPN,2015,3.43216,5546516901265,3.31221,16032.37,0.9138099983482905,349.17932,12.744020340702853,2.544290495045328,3.43216,3.31221,16032.37,0.9138099983482905
JPN,2016,3.72913,5588328029133,3.1643973,15883.7,0.9145699974818219,348.86133,12.747281890831829,2.543895942780973,3.72913,3.14643,15883.7,0.9145699974818219
JPN,2017,4.26516,5681951062992,3.1643973,16122.93,0.9153499984248495,348.59995,12.754497488949813,2.5435713618493057,4.26516,3.13058,16122.93,0.9153499984248495
JPN,2018,4.73214,5718508226089,3.1643973,15685.69,0.9161600018925803,348.185,12.757282750178675,2.543055579371599,4.73214,3.07782,15685.69,0.9161600018925803
JPN,2019,5.23799,5695510147252,3.1643973,15817.83,0.9169799973150758,347.59787,12.755532629945291,2.5423247291593083,5.23799,3.15534,15817.83,0.9169799973150758
JPN,2020,5.7313,5459310569514,3.30629,16338.74,0.917819999841598,346.5145,12.737137801173528,2.540972930188318,5.7313,3.30629,16338.74,0.917819999841598
LTU,2010,1.47636,84325804162,5.29786,7130.3,0.6675701469869388,49.476425,10.92596049147865,1.703088588356657,1.47636,5.29786,7130.3,0.6675701469869388
LTU,2011,1.60541,89658262251,5.11343,7772.99,0.6674099233351442,48.373135,10.952590317156574,1.693490704087558,1.60541,5.11343,7772.99,0.6674099233351442
